"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008016","regulation of heart contraction","53/1625","214/18903",1.05410600866376e-12,5.64809165005838e-10,4.57048260790001e-10,"STC1/MEF2A/KCNQ1/CSRP3/SLC9A1/CACNA2D1/PKP2/ABCC9/CELF2/TNNT2/MYL4/GJC1/JUP/THRA/ATP1B2/JAK2/TMEM38A/S100A1/FXYD1/SCN1B/TRPM4/ATP1A2/IRX3/RGS4/CYP2J2/EDNRB/ATP2B2/FLNA/NOS3/SNTA1/DES/CACNA1G/KCNJ2/PDE4B/PLN/SLC8A1/TRDN/DSC2/PDE5A/ANK2/CAMK2D/EDNRA/CORIN/CASQ2/DMD/HSPB7/ADRB1/SCN3B/SCN4B/P2RX4/BIN1/POPDC2/TMEM161B",53
"GO:0003015","heart process","59/1625","261/18903",3.61778236061854e-12,1.77693410279047e-09,1.43790981368093e-09,"STC1/MEF2A/KCNQ1/CSRP3/FYN/SLC9A1/CACNA2D1/PKP2/ABCC9/CELF2/TNNT2/MYL4/GJC1/JUP/THRA/PIK3CA/ATP1B2/JAK2/TMEM38A/S100A1/FXYD1/SCN1B/TRPM4/ATP1A2/IRX3/RGS4/CYP2J2/EDNRB/ATP2B2/FLNA/NOS3/SNTA1/DES/SGCD/CACNA1G/MAP2K6/KCNJ2/PDE4B/PLN/SLC8A1/TRDN/DSC2/PDE5A/ANK2/CAMK2D/EDNRA/CORIN/CASQ2/DMD/HSPB7/ADRB1/SCN3B/SCN4B/P2RX4/TTN/BIN1/RAMP3/POPDC2/TMEM161B",59
"GO:0042692","muscle cell differentiation","79/1625","409/18903",5.28828568394776e-12,2.39762737086062e-09,1.94017995416739e-09,"TBX1/MYO18B/TBX3/MEF2A/CD81/CSRP3/SLC9A1/NINJ1/APLNR/MYF6/MYF5/FLNC/CACNA1S/TNNT2/NOTCH1/FLOT1/ASB2/CAPN3/PTBP1/MYOCD/MYLK3/IRX3/RGS4/TMEM204/OBSCN/ZEB1/ITGA8/HDAC9/EDNRB/LAMB2/ACTN4/EHD2/EFEMP2/PLD3/G6PD/CAV2/MECP2/KEL/NFATC2/HDAC4/STAC3/SGCD/MYOZ2/PDGFRB/MYH3/SOX9/SLC8A1/DLL1/LAMA2/KRT19/RBM24/RIPOR2/FHOD3/ALPK2/PGM5/TMOD1/EREG/NPNT/ANK2/EDNRA/SORBS2/SGCB/SMYD1/ADAM12/DOCK2/PDCD4/ADPRHL1/DMD/PLPP7/SYNPO2L/DUSP29/CDON/ADAMTS15/BARX2/TTN/BIN1/IGFBP5/ACTN2/POPDC2",79
"GO:0060047","heart contraction","57/1625","250/18903",5.80649580910261e-12,2.4445347356322e-09,1.97813778278526e-09,"STC1/MEF2A/KCNQ1/CSRP3/SLC9A1/CACNA2D1/PKP2/ABCC9/CELF2/TNNT2/MYL4/GJC1/JUP/THRA/PIK3CA/ATP1B2/JAK2/TMEM38A/S100A1/FXYD1/SCN1B/TRPM4/ATP1A2/IRX3/RGS4/CYP2J2/EDNRB/ATP2B2/FLNA/NOS3/SNTA1/DES/SGCD/CACNA1G/MAP2K6/KCNJ2/PDE4B/PLN/SLC8A1/TRDN/DSC2/PDE5A/ANK2/CAMK2D/EDNRA/CORIN/CASQ2/DMD/HSPB7/ADRB1/SCN3B/SCN4B/P2RX4/TTN/BIN1/POPDC2/TMEM161B",57
"GO:0070252","actin-mediated cell contraction","31/1625","104/18903",3.94090656539444e-10,1.50568575011426e-07,1.21841339699029e-07,"STC1/KCNQ1/SLC9A1/CACNA2D1/PKP2/ABCC9/TNNT2/GJC1/JUP/PIK3CA/SCN1B/TRPM4/ATP1A2/FLNA/SNTA1/SGCD/MYH8/MYH3/CACNA1G/KCNJ2/PDE4B/PLN/EPDR1/DSC2/ANK2/CAMK2D/LIMCH1/SHTN1/SCN3B/SCN4B/BIN1",31
"GO:0032970","regulation of actin filament-based process","74/1625","406/18903",4.08737224326913e-10,1.50568575011426e-07,1.21841339699029e-07,"EPHA5/TACR1/STC1/SLC9A1/GRHL3/CYRIB/PKP2/SHANK3/TNNT2/JUP/TGFB3/FERMT2/SPTBN5/PIK3CA/DAPK3/TRPM4/MYLK3/ATP1A2/BAIAP2/MYADM/RHPN2/MYOC/RGS4/KANK4/ARHGAP17/NRP1/FAM107A/FLNA/BAIAP2L1/DBN1/TRIM27/LRP1/PDGFRB/FCHSD1/ARHGAP44/KCNJ2/CDC42EP4/S1PR1/PDE4B/PLN/WASF1/SPTBN1/RHOQ/DAAM2/ARAP1/PAK3/SEMA5A/FHOD3/DSC2/TESK1/RICTOR/PIK3R1/EFNA5/TMOD1/LPAR1/ANK2/CAMK2D/LIMCH1/RHOBTB2/ARF1/EPHA3/GPM6B/ARHGAP6/RDX/WNT11/TRPM2/SYNPO2L/CXCL12/ESAM/BCAS3/BIN1/WASF3/ACTN2/ECT2",74
"GO:0055001","muscle cell development","44/1625","191/18903",1.05424932180998e-09,3.6551444133812e-07,2.95777317468795e-07,"MYO18B/TBX3/MEF2A/CSRP3/MYF6/MYF5/FLNC/CACNA1S/TNNT2/NOTCH1/ASB2/CAPN3/MYLK3/RGS4/OBSCN/HDAC9/ACTN4/EFEMP2/G6PD/CAV2/KEL/NFATC2/STAC3/SGCD/MYOZ2/PDGFRB/MYH3/SLC8A1/KRT19/RIPOR2/FHOD3/ALPK2/PGM5/TMOD1/ANK2/EDNRA/SORBS2/SGCB/ADPRHL1/DMD/SYNPO2L/TTN/BIN1/ACTN2",44
"GO:0051146","striated muscle cell differentiation","58/1625","293/18903",1.37254742067631e-09,4.49433027637009e-07,3.63684933513705e-07,"TBX1/MYO18B/TBX3/MEF2A/CD81/CSRP3/SLC9A1/MYF6/MYF5/FLNC/CACNA1S/TNNT2/NOTCH1/FLOT1/ASB2/CAPN3/MYOCD/MYLK3/IRX3/RGS4/OBSCN/HDAC9/EHD2/PLD3/G6PD/CAV2/KEL/NFATC2/HDAC4/STAC3/SGCD/MYOZ2/PDGFRB/MYH3/SLC8A1/DLL1/KRT19/RBM24/RIPOR2/FHOD3/ALPK2/PGM5/TMOD1/SORBS2/SGCB/SMYD1/ADAM12/DOCK2/ADPRHL1/PLPP7/SYNPO2L/CDON/ADAMTS15/BARX2/TTN/IGFBP5/ACTN2/POPDC2",58
"GO:0060048","cardiac muscle contraction","36/1625","140/18903",1.47928804973575e-09,4.58890724481183e-07,3.71338180241145e-07,"STC1/KCNQ1/CSRP3/SLC9A1/CACNA2D1/PKP2/ABCC9/TNNT2/MYL4/GJC1/JUP/PIK3CA/TMEM38A/SCN1B/TRPM4/ATP1A2/FLNA/SNTA1/SGCD/CACNA1G/MAP2K6/KCNJ2/PDE4B/PLN/SLC8A1/DSC2/PDE5A/ANK2/CAMK2D/CASQ2/DMD/SCN3B/SCN4B/P2RX4/TTN/BIN1",36
"GO:0030048","actin filament-based movement","35/1625","134/18903",1.58674099526413e-09,4.67612571304339e-07,3.78395971028514e-07,"STC1/KCNQ1/SLC9A1/CACNA2D1/PKP2/ABCC9/TNNT2/MYO1D/GJC1/JUP/PIK3CA/SCN1B/TRPM4/ATP1A2/WIPF3/ACTN4/FLNA/SNTA1/MYO1B/SGCD/MYH8/MYH3/CACNA1G/KCNJ2/PDE4B/PLN/EPDR1/DSC2/ANK2/CAMK2D/LIMCH1/SHTN1/SCN3B/SCN4B/BIN1",35
"GO:0072001","renal system development","61/1625","318/18903",1.87158013975873e-09,5.25290159225618e-07,4.25069153546206e-07,"AGTR1/FBN1/UMOD/MAGI2/MMP17/PODXL/CD34/WNK4/NOTCH1/BAG6/ARG2/MYOCD/IRX3/PBX1/HMGCS2/NFIA/CRLF1/GLIS2/SOX8/PKD1/NRP1/ITGA8/CITED1/EDNRB/LAMB2/ANGPT1/TNS2/PDGFRB/PECAM1/SOX9/KANK2/TFAP2B/OSR1/ANGPT2/DLL1/EPCAM/GLI3/TFAP2A/IRX2/ANKS6/GREB1L/LAMA5/SULF1/OSR2/LRP2/PKD2/ENPEP/NPNT/EDNRA/PROM1/ADAMTS1/COL4A1/PDGFD/WNT11/HES5/PLCE1/RBP4/GFRA1/GCNT4/CENPF/IRX1",61
"GO:0086003","cardiac muscle cell contraction","25/1625","76/18903",1.9969878976962e-09,5.35011212228245e-07,4.32935510261314e-07,"STC1/KCNQ1/SLC9A1/CACNA2D1/PKP2/ABCC9/GJC1/JUP/PIK3CA/SCN1B/TRPM4/ATP1A2/FLNA/SNTA1/SGCD/CACNA1G/KCNJ2/PDE4B/PLN/DSC2/ANK2/CAMK2D/SCN3B/SCN4B/BIN1",25
"GO:0085029","extracellular matrix assembly","19/1625","46/18903",2.20453122390758e-09,5.6493508842223e-07,4.57150159062941e-07,"ANTXR1/LAMB4/FKBP10/NOTCH1/TNXB/FBLN5/THSD4/QSOX1/COL1A2/LAMB2/NTN4/EFEMP2/PXDN/MFAP4/SOX9/GAS6/GPM6B/COL3A1/NTNG1",19
"GO:1904062","regulation of cation transmembrane transport","70/1625","394/18903",3.72787949740004e-09,9.15505073236493e-07,7.40834298364894e-07,"NLGN1/KCNQ1/FYN/SLC9A1/CACNA2D1/RELN/ABCC9/APLNR/CTSS/SHANK3/CRHR1/WNK4/CAPN3/PRKD1/NLGN2/ATP1B2/DLG4/KCNAB1/VAMP2/TMEM38A/FXYD1/SCN1B/ATP1A2/CACNG6/CACNG1/RGS4/KCNC1/SLC6A9/ACTN4/CHP2/AHNAK/G6PD/FLNA/KEL/JPH1/SNTA1/STAC3/DHRS7C/SLC9A3R1/KCNJ2/PDE4B/OSR1/PLN/SLC8A1/ARG1/TRDN/CNKSR3/CAPN1/PLP1/ATPSCKMT/ANTKMT/F2R/PKD2/ANK2/CAMK2D/EDNRA/CASQ2/FGF14/DMD/PPIF/SCN3B/SCN4B/FXYD6/P2RX4/VMP1/SLC43A2/BIN1/RAMP3/ACTN2/CACNB3",70
"GO:0001655","urogenital system development","65/1625","360/18903",6.98906310027853e-09,1.64774151652167e-06,1.33336610136261e-06,"PSAP/AGTR1/FBN1/UMOD/MAGI2/MMP17/PODXL/CD34/WNK4/NOTCH1/BAG6/ARG2/STK11/MYOCD/IRX3/PBX1/HMGCS2/NFIA/CRLF1/GLIS2/SOX8/PKD1/NRP1/ITGA8/CITED1/EDNRB/LAMB2/ANGPT1/TNS2/PDGFRB/PECAM1/SOX9/KANK2/TFAP2B/OSR1/ANGPT2/ESR1/DLL1/EPCAM/GLI3/TFAP2A/IRX2/ANKS6/GREB1L/LAMA5/CYP7B1/SULF1/OSR2/LRP2/PKD2/ENPEP/NPNT/EDNRA/PROM1/ADAMTS1/COL4A1/PDGFD/WNT11/HES5/PLCE1/RBP4/GFRA1/GCNT4/CENPF/IRX1",65
"GO:0043434","response to peptide hormone","72/1625","421/18903",1.17820088452699e-08,2.67089077438541e-06,2.16130696671732e-06,"IL1B/AGTR1/IRS1/PLAT/FBN1/KCNQ1/CSRP3/SESN2/SLC9A1/MAS1/PRKCQ/GNAI1/BCAR1/CRHR1/COL1A1/PDK2/PIP4K2B/ZNF106/RAB15/PIK3CA/VAMP2/STK11/JAK2/APRT/SOCS3/BAIAP2/HMGCS2/TGFBR3/PIK3R3/SCNN1B/INSIG1/HDAC9/PDK4/CITED1/TNFSF10/KAT2B/EDNRB/OXTR/TIMP4/CAV2/BAIAP2L1/TWIST2/STAT6/TNS2/TLR2/TRIM16/SLC27A1/GCLC/ARG1/SRD5A2/RHOQ/SLC30A10/SESN3/INPPL1/IGFBP1/PTK2/PIK3R1/EREG/AREG/EDNRA/PHEX/DDR2/PRKCZ/ALPL/SORBS1/SLC2A1/CXCL12/YWHAG/COL3A1/MSTN/IGFBP5/ACTN2",72
"GO:0072006","nephron development","36/1625","152/18903",1.57426289701475e-08,3.322276620186e-06,2.68841379566424e-06,"UMOD/MAGI2/PODXL/CD34/WNK4/NOTCH1/IRX3/PBX1/SOX8/PKD1/CITED1/EDNRB/LAMB2/ANGPT1/PDGFRB/PECAM1/SOX9/TFAP2B/OSR1/ANGPT2/DLL1/GLI3/IRX2/GREB1L/LAMA5/SULF1/PKD2/ENPEP/NPNT/EDNRA/PROM1/PDGFD/WNT11/HES5/PLCE1/IRX1",36
"GO:0061448","connective tissue development","53/1625","274/18903",1.59428824713835e-08,3.322276620186e-06,2.68841379566424e-06,"RFLNA/SELENOM/SNORC/STC1/EBF2/RUNX3/EPYC/MYF5/CD34/COL1A1/THRA/NOTCH1/COL5A1/PKDCC/PIK3CA/ECM1/TRPM4/HMGCS2/WNT9A/SOX8/PKD1/ZEB1/OGN/COL2A1/ACVRL1/ANXA6/PDGFRB/CHADL/AXIN2/SOX9/OSR1/EFEMP1/SPTLC2/OTOR/GLI3/SNAI2/SULF1/OSR2/NFIB/SFRP2/CYTL1/CNMD/PDGFD/MMP13/WNT11/CHRDL2/HES5/BARX2/UBB/COL3A1/TGFBR2/CCN1/COL11A1",53
"GO:0061337","cardiac conduction","28/1625","101/18903",1.63464577511697e-08,3.322276620186e-06,2.68841379566424e-06,"MEF2A/KCNQ1/SLC9A1/CACNA2D1/PKP2/ABCC9/GJC1/JUP/ATP1B2/SCN1B/TRPM4/ATP1A2/IRX3/ATP2B2/FLNA/CACNA1G/KCNJ2/PLN/SLC8A1/TRDN/DSC2/ANK2/CAMK2D/CORIN/CASQ2/SCN3B/SCN4B/BIN1",28
"GO:0001667","ameboidal-type cell migration","80/1625","492/18903",1.88393353508977e-08,3.70130141860637e-06,2.99512380613746e-06,"TBX1/P2RY12/TACR1/STC1/NR2F2/RIC8A/TPBG/SEMA3C/SEMA3A/DCN/BCAR1/JUP/NOTCH1/PRKD1/CLEC14A/PIK3CA/SEMA6B/TBXA2R/CDH5/ANLN/CDH13/PIK3R3/SOX8/NRP1/JCAD/HDAC9/EDNRB/SEMA3G/PRKD2/CD248/MECP2/NOS3/SOX18/ANGPT1/SOX10/ACVRL1/ANXA6/FLT4/CYGB/SLC9A3R1/SOX9/KANK2/PLPP3/ANGPT2/SLC8A1/SMOC2/RIN2/DAAM2/EFNB1/STARD13/FGF16/PAK3/SEMA5A/PTPRM/LAMA5/SNAI2/PTK2/EPPK1/TESK1/CCBE1/PLK2/EDNRA/KDR/FGFBP1/NANOS1/WNT11/GLUL/GLIPR2/DDR2/MMRN2/VSTM4/ETS1/C1QBP/P2RX4/BCAS3/CENPV/NRP2/ZEB2/TGFBR2/TNS1",80
"GO:0003018","vascular process in circulatory system","52/1625","270/18903",2.52572023823275e-08,4.80212744649801e-06,3.88592135804163e-06,"CLDN5/ADRA2B/AGTR1/TACR1/ABCC9/SLC2A13/SLC7A8/FERMT2/ATP1B2/OCLN/PLVAP/TBXA2R/SLC1A3/CDH5/TRPM4/MYLK3/ATP1A2/SLC7A5/FAAH/SLC6A9/SCNN1B/EDNRB/OXTR/SLC38A3/SLC29A4/NOS3/KEL/MFSD2A/ANGPT1/SNTA1/LRP1/SLC9A3R1/SLC27A1/GCLC/SLC8A1/SLC22A3/SLC16A2/ITGA1/F2R/LRP2/EDNRA/GUCY1A1/SLC7A2/ABCC1/SLCO2B1/PDE2A/SLC2A1/VSTM4/PRKG1/ADRB1/SMTNL2/ABCC2",52
"GO:0007015","actin filament organization","75/1625","454/18903",2.66752085515595e-08,4.82807811973139e-06,3.90692085805421e-06,"RFLNA/TF/TACR1/KBTBD13/SLC9A1/SH3D21/CYRIB/GAS2L3/SHANK3/HSP90B1/TNNT2/PACSIN1/BCAR1/MYO1D/PPP1R9B/TGFB3/FERMT2/SPTBN5/PIK3CA/JAK2/BAIAP2/MYADM/RHPN2/MYOC/RGS4/KANK4/ARHGAP17/NRP1/FAM107A/FLNA/BAIAP2L1/ZYX/DBN1/DPYSL3/TRIM27/MYO1B/FCHSD1/CDC42EP4/S1PR1/WASF1/SPTBN1/DAAM2/ARAP1/INPPL1/PAK3/DIAPH2/SEMA5A/FHOD3/TESK1/TPM2/RICTOR/PIK3R1/SHROOM3/TMOD1/LPAR1/SORBS2/LIMCH1/RHOBTB2/ARF1/ARHGAP6/RDX/WNT11/AIF1L/SORBS1/SYNPO2L/CXCL12/SHTN1/ESAM/GAS2L2/TTN/XIRP2/BIN1/WASF3/ACTN2/MARCKS",75
"GO:0001822","kidney development","57/1625","309/18903",2.70319949017876e-08,4.82807811973139e-06,3.90692085805421e-06,"AGTR1/FBN1/UMOD/MAGI2/MMP17/PODXL/CD34/WNK4/NOTCH1/BAG6/ARG2/IRX3/PBX1/HMGCS2/CRLF1/GLIS2/SOX8/PKD1/NRP1/ITGA8/CITED1/EDNRB/LAMB2/ANGPT1/TNS2/PDGFRB/PECAM1/SOX9/KANK2/TFAP2B/OSR1/ANGPT2/DLL1/EPCAM/GLI3/TFAP2A/IRX2/ANKS6/GREB1L/LAMA5/SULF1/OSR2/LRP2/PKD2/ENPEP/NPNT/EDNRA/PROM1/ADAMTS1/PDGFD/WNT11/HES5/PLCE1/GFRA1/GCNT4/CENPF/IRX1",57
